Date,Purchase,NAV,Withdrawal
2013-01-02,1.7355,1.7329,1.7311
2013-01-03,1.7491,1.7464,1.7446
2013-01-04,1.7427,1.7400,1.7382
2013-01-07,1.7404,1.7377,1.7359
2013-01-08,1.7306,1.7280,1.7262
2013-01-09,1.7372,1.7345,1.7327
2013-01-10,1.7427,1.7400,1.7382
2013-01-11,1.7379,1.7352,1.7334
2013-01-14,1.7415,1.7388,1.7370
2013-01-15,1.7403,1.7376,1.7358
2013-01-16,1.7484,1.7457,1.7439
2013-01-17,1.7549,1.7522,1.7504
2013-01-18,1.7602,1.7575,1.7557
2013-01-21,1.7625,1.7598,1.7580
2013-01-22,1.7629,1.7602,1.7584
2013-01-23,1.7663,1.7636,1.7618
2013-01-24,1.7745,1.7718,1.7700
2013-01-25,1.7837,1.7810,1.7792
2013-01-29,1.8030,1.8002,1.7983
2013-01-30,1.8059,1.8031,1.8012
2013-01-31,1.7990,1.7963,1.7945
2013-02-01,1.8143,1.8115,1.8096
2013-02-04,1.8092,1.8064,1.8045
2013-02-05,1.7997,1.7970,1.7952
2013-02-06,1.8140,1.8112,1.8093
2013-02-07,1.8193,1.8165,1.8146
2013-02-08,1.8333,1.8305,1.8286
2013-02-11,1.8289,1.8261,1.8242
2013-02-12,1.8289,1.8261,1.8242
2013-02-13,1.8450,1.8422,1.8403
2013-02-14,1.8571,1.8543,1.8524
2013-02-15,1.8562,1.8534,1.8515
2013-02-18,1.8736,1.8707,1.8688
2013-02-19,1.8817,1.8788,1.8769
2013-02-20,1.8877,1.8848,1.8829
2013-02-21,1.8440,1.8412,1.8393
2013-02-22,1.8583,1.8555,1.8536
2013-02-25,1.8737,1.8708,1.8689
2013-02-26,1.8550,1.8522,1.8503
2013-02-27,1.8672,1.8644,1.8625
2013-02-28,1.8929,1.8900,1.8881
2013-03-01,1.8864,1.8835,1.8816
2013-03-04,1.8629,1.8601,1.8582
2013-03-05,1.8874,1.8845,1.8826
2013-03-06,1.9036,1.9007,1.8987
2013-03-07,1.9010,1.8981,1.8962
2013-03-08,1.9067,1.9038,1.9018
2013-03-11,1.9153,1.9124,1.9104
2013-03-12,1.9044,1.9015,1.8995
2013-03-13,1.8949,1.8920,1.8901
2013-03-14,1.8725,1.8696,1.8677
2013-03-15,1.9050,1.9021,1.9001
2013-03-18,1.8673,1.8645,1.8626
2013-03-19,1.8575,1.8547,1.8528
2013-03-20,1.8497,1.8469,1.8450
2013-03-21,1.8468,1.8440,1.8421
2013-03-22,1.8496,1.8468,1.8449
2013-03-25,1.8579,1.8551,1.8532
2013-03-26,1.8431,1.8403,1.8384
2013-03-27,1.8594,1.8566,1.8547
2013-03-28,1.8489,1.8461,1.8442
2013-04-02,1.8555,1.8527,1.8508
2013-04-03,1.8445,1.8417,1.8398
2013-04-04,1.8277,1.8249,1.8230
2013-04-05,1.8199,1.8171,1.8152
2013-04-08,1.8250,1.8222,1.8203
2013-04-09,1.8509,1.8481,1.8462
2013-04-10,1.8479,1.8451,1.8432
2013-04-11,1.8620,1.8592,1.8573
2013-04-12,1.8644,1.8616,1.8597
2013-04-15,1.8467,1.8439,1.8420
2013-04-16,1.8396,1.8368,1.8349
2013-04-17,1.8591,1.8563,1.8544
2013-04-18,1.8290,1.8262,1.8243
2013-04-19,1.8322,1.8294,1.8275
2013-04-22,1.8447,1.8419,1.8400
2013-04-23,1.8626,1.8598,1.8579
2013-04-24,1.8944,1.8915,1.8896
2013-04-26,1.8930,1.8901,1.8882
2013-04-29,1.9033,1.9004,1.8984
2013-04-30,1.9270,1.9241,1.9221
2013-05-01,1.9177,1.9148,1.9128
2013-05-02,1.9038,1.9009,1.8989
2013-05-03,1.9037,1.9008,1.8988
2013-05-06,1.9135,1.9106,1.9086
2013-05-07,1.9090,1.9061,1.9041
2013-05-08,1.9295,1.9266,1.9246
2013-05-09,1.9325,1.9296,1.9276
2013-05-10,1.9357,1.9328,1.9308
2013-05-13,1.9418,1.9388,1.9368
2013-05-14,1.9456,1.9426,1.9406
2013-05-15,1.9346,1.9317,1.9297
2013-05-16,1.9243,1.9214,1.9194
2013-05-17,1.9300,1.9271,1.9251
2013-05-20,1.9401,1.9371,1.9351
2013-05-21,1.9293,1.9264,1.9244
2013-05-22,1.9237,1.9208,1.9188
2013-05-23,1.8853,1.8824,1.8805
2013-05-24,1.8559,1.8531,1.8512
2013-05-27,1.8467,1.8439,1.8420
2013-05-28,1.8512,1.8484,1.8465
2013-05-29,1.8532,1.8504,1.8485
2013-05-30,1.8401,1.8373,1.8354
2013-05-31,1.8388,1.8360,1.8341
2013-06-03,1.8242,1.8214,1.8195
2013-06-04,1.8288,1.8260,1.8241
2013-06-05,1.8047,1.8019,1.8000
2013-06-06,1.7846,1.7819,1.7801
2013-06-07,1.7685,1.7658,1.7640
2013-06-11,1.7754,1.7727,1.7709
2013-06-12,1.7633,1.7606,1.7588
2013-06-13,1.7523,1.7496,1.7478
2013-06-14,1.7877,1.7850,1.7832
2013-06-17,1.8003,1.7976,1.7958
2013-06-18,1.7959,1.7932,1.7914
2013-06-19,1.8131,1.8103,1.8084
2013-06-20,1.7751,1.7724,1.7706
2013-06-21,1.7676,1.7649,1.7631
2013-06-24,1.7441,1.7414,1.7396
2013-06-25,1.7391,1.7364,1.7346
2013-06-26,1.7671,1.7644,1.7626
2013-06-27,1.7965,1.7938,1.7920
2013-06-28,1.7936,1.7909,1.7891
2013-07-01,1.7401,1.7374,1.7356
2013-07-02,1.7855,1.7828,1.7810
2013-07-03,1.7530,1.7503,1.7485
2013-07-04,1.7716,1.7689,1.7671
2013-07-05,1.7890,1.7863,1.7845
2013-07-08,1.7772,1.7745,1.7727
2013-07-09,1.8037,1.8009,1.7990
2013-07-10,1.8108,1.8080,1.8061
2013-07-11,1.8343,1.8315,1.8296
2013-07-12,1.8375,1.8347,1.8328
2013-07-15,1.8400,1.8372,1.8353
2013-07-16,1.8418,1.8390,1.8371
2013-07-17,1.8403,1.8375,1.8356
2013-07-18,1.8446,1.8418,1.8399
2013-07-19,1.8370,1.8342,1.8323
2013-07-22,1.8480,1.8452,1.8433
2013-07-23,1.8537,1.8509,1.8490
2013-07-24,1.8603,1.8575,1.8556
2013-07-25,1.8603,1.8575,1.8556
2013-07-26,1.8625,1.8597,1.8578
2013-07-29,1.8637,1.8609,1.8590
2013-07-30,1.8638,1.8610,1.8591
2013-07-31,1.8661,1.8633,1.8614
2013-08-01,1.8693,1.8665,1.8646
2013-08-02,1.8894,1.8865,1.8846
2013-08-05,1.8872,1.8843,1.8824
2013-08-06,1.8850,1.8821,1.8802
2013-08-07,1.8503,1.8475,1.8456
2013-08-08,1.8698,1.8669,1.8650
2013-08-09,1.8675,1.8647,1.8628
2013-08-12,1.8874,1.8845,1.8826
2013-08-13,1.9057,1.9028,1.9008
2013-08-14,1.9062,1.9033,1.9013
2013-08-15,1.9046,1.9017,1.8997
2013-08-16,1.8907,1.8878,1.8859
2013-08-19,1.8978,1.8949,1.8930
2013-08-20,1.8870,1.8841,1.8822
2013-08-21,1.8950,1.8921,1.8902
2013-08-22,1.8859,1.8830,1.8811
2013-08-23,1.9042,1.9013,1.8993
2013-08-26,1.9106,1.9077,1.9057
2013-08-27,1.9135,1.9106,1.9086
2013-08-28,1.8938,1.8909,1.8890
2013-08-29,1.8957,1.8928,1.8909
2013-08-30,1.9118,1.9089,1.9069
2013-09-02,1.9367,1.9337,1.9317
2013-09-03,1.9401,1.9371,1.9351
