Date,Purchase,NAV,Withdrawal
2013-01-02,1.2254,1.2231,1.2213
2013-01-03,1.2267,1.2244,1.2226
2013-01-04,1.2282,1.2259,1.2241
2013-01-07,1.2262,1.2239,1.2221
2013-01-08,1.2223,1.2201,1.2183
2013-01-09,1.2257,1.2234,1.2216
2013-01-10,1.2278,1.2255,1.2237
2013-01-11,1.2280,1.2257,1.2239
2013-01-14,1.2291,1.2268,1.2250
2013-01-15,1.2301,1.2278,1.2260
2013-01-16,1.2318,1.2295,1.2277
2013-01-17,1.2358,1.2335,1.2317
2013-01-18,1.2388,1.2365,1.2347
2013-01-22,1.2392,1.2369,1.2351
2013-01-23,1.2402,1.2379,1.2361
2013-01-24,1.2456,1.2433,1.2415
2013-01-25,1.2512,1.2489,1.2471
2013-01-29,1.2554,1.2531,1.2513
2013-01-30,1.2561,1.2538,1.2520
2013-01-31,1.2543,1.2520,1.2502
2013-02-01,1.2620,1.2597,1.2579
2013-02-04,1.2556,1.2533,1.2515
2013-02-05,1.2558,1.2535,1.2517
2013-02-06,1.2626,1.2603,1.2585
2013-02-07,1.2628,1.2605,1.2587
2013-02-08,1.2683,1.2660,1.2642
2013-02-11,1.2679,1.2656,1.2638
2013-02-12,1.2690,1.2667,1.2649
2013-02-13,1.2717,1.2694,1.2676
2013-02-14,1.2731,1.2708,1.2690
2013-02-15,1.2737,1.2714,1.2696
2013-02-19,1.2819,1.2795,1.2777
2013-02-20,1.2832,1.2808,1.2790
2013-02-21,1.2695,1.2672,1.2654
2013-02-22,1.2742,1.2719,1.2701
2013-02-25,1.2762,1.2739,1.2721
2013-02-26,1.2731,1.2708,1.2690
2013-02-27,1.2807,1.2783,1.2765
2013-02-28,1.2879,1.2855,1.2837
2013-03-01,1.2864,1.2840,1.2822
2013-03-04,1.2837,1.2813,1.2795
2013-03-05,1.2912,1.2888,1.2869
2013-03-06,1.2946,1.2922,1.2903
2013-03-07,1.2937,1.2913,1.2894
2013-03-08,1.2970,1.2946,1.2927
2013-03-11,1.2993,1.2969,1.2950
2013-03-12,1.2945,1.2921,1.2902
2013-03-13,1.2924,1.2900,1.2881
2013-03-14,1.2861,1.2837,1.2819
2013-03-15,1.2947,1.2923,1.2904
2013-03-18,1.2835,1.2811,1.2793
2013-03-19,1.2807,1.2783,1.2765
2013-03-20,1.2803,1.2779,1.2761
2013-03-21,1.2757,1.2734,1.2716
2013-03-22,1.2778,1.2755,1.2737
2013-03-25,1.2783,1.2760,1.2742
2013-03-26,1.2761,1.2738,1.2720
2013-03-27,1.2821,1.2797,1.2779
2013-03-28,1.2815,1.2791,1.2773
2013-04-02,1.2826,1.2802,1.2784
2013-04-03,1.2767,1.2744,1.2726
2013-04-04,1.2765,1.2742,1.2724
2013-04-05,1.2756,1.2733,1.2715
2013-04-08,1.2792,1.2769,1.2751
2013-04-09,1.2837,1.2813,1.2795
2013-04-10,1.2858,1.2834,1.2816
2013-04-11,1.2914,1.2890,1.2871
2013-04-12,1.2939,1.2915,1.2896
2013-04-15,1.2862,1.2838,1.2820
2013-04-16,1.2886,1.2862,1.2843
2013-04-17,1.2906,1.2882,1.2863
2013-04-18,1.2820,1.2796,1.2778
2013-04-19,1.2865,1.2841,1.2823
2013-04-22,1.2921,1.2897,1.2878
2013-04-23,1.3013,1.2989,1.2970
2013-04-24,1.3118,1.3094,1.3075
2013-04-26,1.3115,1.3091,1.3072
2013-04-29,1.3156,1.3132,1.3113
2013-04-30,1.3231,1.3207,1.3188
2013-05-01,1.3213,1.3189,1.3170
2013-05-02,1.3217,1.3193,1.3174
2013-05-03,1.3226,1.3202,1.3183
2013-05-06,1.3274,1.3250,1.3231
2013-05-07,1.3317,1.3293,1.3274
2013-05-08,1.3397,1.3372,1.3353
2013-05-09,1.3384,1.3359,1.3340
2013-05-10,1.3447,1.3422,1.3403
2013-05-13,1.3477,1.3452,1.3433
2013-05-14,1.3529,1.3504,1.3485
2013-05-15,1.3526,1.3501,1.3482
2013-05-16,1.3517,1.3492,1.3473
2013-05-17,1.3596,1.3571,1.3552
2013-05-20,1.3612,1.3587,1.3567
2013-05-21,1.3601,1.3576,1.3556
2013-05-22,1.3577,1.3552,1.3533
2013-05-23,1.3400,1.3375,1.3356
2013-05-24,1.3331,1.3307,1.3288
2013-05-28,1.3347,1.3323,1.3304
2013-05-29,1.3306,1.3282,1.3263
2013-05-30,1.3244,1.3220,1.3201
