Date,Purchase,NAV,Withdrawal
2013-01-02,0.6529,0.6519,0.6509
2013-01-03,0.6465,0.6455,0.6445
2013-01-04,0.6427,0.6417,0.6407
2013-01-07,0.6408,0.6398,0.6388
2013-01-08,0.6369,0.6359,0.6349
2013-01-09,0.6462,0.6452,0.6442
2013-01-10,0.6518,0.6508,0.6498
2013-01-11,0.6539,0.6529,0.6519
2013-01-14,0.6592,0.6582,0.6572
2013-01-15,0.6599,0.6589,0.6579
2013-01-16,0.6647,0.6637,0.6627
2013-01-17,0.6610,0.6600,0.6590
2013-01-18,0.6621,0.6611,0.6601
2013-01-21,0.6596,0.6586,0.6576
2013-01-22,0.6594,0.6584,0.6574
2013-01-23,0.6569,0.6559,0.6549
2013-01-24,0.6595,0.6585,0.6575
2013-01-25,0.6680,0.6669,0.6658
2013-01-29,0.6688,0.6677,0.6666
2013-01-30,0.6702,0.6691,0.6680
2013-01-31,0.6730,0.6719,0.6708
2013-02-01,0.6792,0.6781,0.6770
2013-02-04,0.6778,0.6767,0.6756
2013-02-05,0.6757,0.6746,0.6735
2013-02-06,0.6796,0.6785,0.6774
2013-02-07,0.6791,0.6780,0.6769
2013-02-08,0.6836,0.6825,0.6814
2013-02-11,0.6808,0.6797,0.6786
2013-02-12,0.6809,0.6798,0.6787
2013-02-13,0.6819,0.6808,0.6797
2013-02-14,0.6778,0.6767,0.6756
2013-02-15,0.6746,0.6735,0.6724
2013-02-18,0.6711,0.6700,0.6689
2013-02-19,0.6794,0.6783,0.6772
2013-02-20,0.6888,0.6877,0.6866
2013-02-21,0.6838,0.6827,0.6816
2013-02-22,0.6841,0.6830,0.6819
2013-02-25,0.6891,0.6880,0.6869
2013-02-26,0.6846,0.6835,0.6824
2013-02-27,0.6912,0.6901,0.6890
2013-02-28,0.6962,0.6951,0.6940
2013-03-01,0.6851,0.6840,0.6829
2013-03-04,0.6874,0.6863,0.6852
2013-03-05,0.6942,0.6931,0.6920
2013-03-06,0.6977,0.6966,0.6955
2013-03-07,0.6967,0.6956,0.6945
2013-03-08,0.6922,0.6911,0.6900
2013-03-11,0.6958,0.6947,0.6936
2013-03-12,0.6960,0.6949,0.6938
2013-03-13,0.6939,0.6928,0.6917
2013-03-14,0.6878,0.6867,0.6856
2013-03-15,0.6946,0.6935,0.6924
2013-03-18,0.6848,0.6837,0.6826
2013-03-19,0.6827,0.6816,0.6805
2013-03-20,0.6823,0.6812,0.6801
2013-03-21,0.6802,0.6791,0.6780
2013-03-22,0.6807,0.6796,0.6785
2013-03-25,0.6798,0.6787,0.6776
2013-03-26,0.6790,0.6779,0.6768
2013-03-27,0.6824,0.6813,0.6802
2013-03-28,0.6774,0.6763,0.6752
2013-04-02,0.6905,0.6894,0.6883
2013-04-03,0.6921,0.6910,0.6899
2013-04-04,0.6913,0.6902,0.6891
2013-04-05,0.6896,0.6885,0.6874
2013-04-08,0.6908,0.6897,0.6886
2013-04-09,0.6918,0.6907,0.6896
2013-04-10,0.6929,0.6918,0.6907
2013-04-11,0.6969,0.6958,0.6947
2013-04-12,0.7111,0.7100,0.7089
2013-04-15,0.7122,0.7111,0.7100
2013-04-16,0.7158,0.7147,0.7136
2013-04-17,0.7270,0.7259,0.7248
2013-04-18,0.7239,0.7228,0.7217
2013-04-19,0.7265,0.7254,0.7243
2013-04-22,0.7212,0.7201,0.7190
2013-04-23,0.7263,0.7252,0.7241
2013-04-24,0.7354,0.7342,0.7330
2013-04-26,0.7245,0.7234,0.7223
2013-04-29,0.7274,0.7263,0.7252
2013-04-30,0.7319,0.7308,0.7297
2013-05-01,0.7298,0.7287,0.7276
2013-05-02,0.7344,0.7333,0.7322
2013-05-03,0.7344,0.7333,0.7322
2013-05-06,0.7354,0.7342,0.7330
2013-05-07,0.7333,0.7322,0.7311
2013-05-08,0.7437,0.7425,0.7413
2013-05-09,0.7444,0.7432,0.7420
2013-05-10,0.7480,0.7468,0.7456
2013-05-13,0.7546,0.7534,0.7522
2013-05-14,0.7555,0.7543,0.7531
2013-05-15,0.7485,0.7473,0.7461
2013-05-16,0.7522,0.7510,0.7498
2013-05-17,0.7518,0.7506,0.7494
2013-05-20,0.7528,0.7516,0.7504
