Date,Purchase,NAV,Withdrawal
2013-01-02,1.0005,1.0005,1.0005
2013-01-03,1.0007,1.0007,1.0007
2013-01-04,1.0004,1.0004,1.0004
2013-01-07,1.0006,1.0006,1.0006
2013-01-08,1.0007,1.0007,1.0007
2013-01-09,1.0009,1.0009,1.0009
2013-01-10,1.0008,1.0008,1.0008
2013-01-11,1.0007,1.0007,1.0007
2013-01-14,1.0009,1.0009,1.0009
2013-01-15,1.0011,1.0011,1.0011
2013-01-16,1.0015,1.0015,1.0015
2013-01-17,1.0018,1.0018,1.0018
2013-01-18,1.0016,1.0016,1.0016
2013-01-21,1.0019,1.0019,1.0019
2013-01-22,1.0019,1.0019,1.0019
2013-01-23,1.0021,1.0021,1.0021
2013-01-24,1.0024,1.0024,1.0024
2013-01-25,1.0024,1.0024,1.0024
2013-01-29,1.0020,1.0020,1.0020
2013-01-30,1.0021,1.0021,1.0021
2013-01-31,1.0024,1.0024,1.0024
2013-02-01,1.0024,1.0024,1.0024
2013-02-04,1.0024,1.0024,1.0024
2013-02-05,1.0026,1.0026,1.0026
2013-02-06,1.0027,1.0027,1.0027
2013-02-07,1.0030,1.0030,1.0030
2013-02-08,1.0030,1.0030,1.0030
2013-02-11,1.0034,1.0034,1.0034
2013-02-12,1.0034,1.0034,1.0034
2013-02-13,1.0032,1.0032,1.0032
2013-02-14,1.0030,1.0030,1.0030
2013-02-15,1.0033,1.0033,1.0033
2013-02-18,1.0034,1.0034,1.0034
2013-02-19,1.0034,1.0034,1.0034
2013-02-20,1.0035,1.0035,1.0035
2013-02-21,1.0036,1.0036,1.0036
2013-02-22,1.0036,1.0036,1.0036
2013-02-25,1.0038,1.0038,1.0038
2013-02-26,1.0043,1.0043,1.0043
2013-02-27,1.0045,1.0045,1.0045
2013-02-28,1.0044,1.0044,1.0044
2013-03-01,1.0044,1.0044,1.0044
2013-03-04,1.0047,1.0047,1.0047
2013-03-05,1.0044,1.0044,1.0044
2013-03-06,1.0042,1.0042,1.0042
2013-03-07,1.0043,1.0043,1.0043
2013-03-08,1.0041,1.0041,1.0041
2013-03-11,1.0041,1.0041,1.0041
2013-03-12,1.0040,1.0040,1.0040
2013-03-13,1.0041,1.0041,1.0041
2013-03-14,1.0037,1.0037,1.0037
2013-03-15,1.0037,1.0037,1.0037
2013-03-18,1.0046,1.0046,1.0046
2013-03-19,1.0044,1.0044,1.0044
2013-03-20,1.0045,1.0045,1.0045
2013-03-21,1.0044,1.0044,1.0044
2013-03-22,1.0044,1.0044,1.0044
2013-03-25,1.0044,1.0044,1.0044
2013-03-26,1.0047,1.0047,1.0047
2013-03-27,1.0049,1.0049,1.0049
2013-03-28,1.0053,1.0053,1.0053
2013-04-02,0.9993,0.9993,0.9993
2013-04-03,0.9992,0.9992,0.9992
2013-04-04,0.9993,0.9993,0.9993
2013-04-05,0.9994,0.9994,0.9994
2013-04-08,0.9998,0.9998,0.9998
2013-04-09,0.9999,0.9999,0.9999
2013-04-10,0.9999,0.9999,0.9999
2013-04-11,1.0000,1.0000,1.0000
2013-04-12,1.0002,1.0002,1.0002
2013-04-15,1.0007,1.0007,1.0007
2013-04-16,1.0009,1.0009,1.0009
2013-04-17,1.0009,1.0009,1.0009
2013-04-18,1.0011,1.0011,1.0011
2013-04-19,1.0012,1.0012,1.0012
2013-04-22,1.0013,1.0013,1.0013
2013-04-23,1.0016,1.0016,1.0016
2013-04-24,1.0019,1.0019,1.0019
2013-04-26,1.0022,1.0022,1.0022
2013-04-29,1.0025,1.0025,1.0025
2013-04-30,1.0026,1.0026,1.0026
2013-05-01,1.0027,1.0027,1.0027
2013-05-02,1.0031,1.0031,1.0031
2013-05-03,1.0032,1.0032,1.0032
2013-05-06,1.0032,1.0032,1.0032
2013-05-07,1.0036,1.0036,1.0036
2013-05-08,1.0039,1.0039,1.0039
2013-05-09,1.0038,1.0038,1.0038
2013-05-10,1.0036,1.0036,1.0036
2013-05-13,1.0037,1.0037,1.0037
2013-05-14,1.0039,1.0039,1.0039
2013-05-15,1.0039,1.0039,1.0039
2013-05-16,1.0041,1.0041,1.0041
2013-05-17,1.0044,1.0044,1.0044
2013-05-20,1.0045,1.0045,1.0045
2013-05-21,1.0044,1.0044,1.0044
2013-05-22,1.0043,1.0043,1.0043
2013-05-23,1.0045,1.0045,1.0045
2013-05-24,1.0044,1.0044,1.0044
2013-05-27,1.0047,1.0047,1.0047
2013-05-28,1.0047,1.0047,1.0047
2013-05-29,1.0046,1.0046,1.0046
