Date,Purchase,NAV,Withdrawal
2013-01-02,0.7987,0.7971,0.7963
2013-01-03,0.7947,0.7931,0.7923
2013-01-04,0.8039,0.8022,0.8013
2013-01-07,0.7996,0.7980,0.7972
2013-01-08,0.7967,0.7951,0.7943
2013-01-09,0.7978,0.7962,0.7954
2013-01-10,0.7999,0.7983,0.7975
2013-01-11,0.8036,0.8019,0.8010
2013-01-14,0.8020,0.8003,0.7994
2013-01-15,0.8039,0.8022,0.8013
2013-01-16,0.8011,0.7995,0.7987
2013-01-17,0.8074,0.8057,0.8048
2013-01-18,0.8112,0.8095,0.8086
2013-01-22,0.8097,0.8080,0.8071
2013-01-23,0.8097,0.8080,0.8071
2013-01-24,0.8176,0.8159,0.8150
2013-01-25,0.8260,0.8243,0.8234
2013-01-29,0.8275,0.8258,0.8249
2013-01-30,0.8289,0.8272,0.8263
2013-01-31,0.8264,0.8247,0.8238
2013-02-01,0.8356,0.8339,0.8330
2013-02-04,0.8235,0.8218,0.8209
2013-02-05,0.8301,0.8284,0.8275
2013-02-06,0.8371,0.8354,0.8345
2013-02-07,0.8337,0.8320,0.8311
2013-02-08,0.8376,0.8359,0.8350
2013-02-11,0.8390,0.8373,0.8364
2013-02-12,0.8412,0.8395,0.8386
2013-02-13,0.8383,0.8366,0.8357
2013-02-14,0.8356,0.8339,0.8330
2013-02-15,0.8371,0.8354,0.8345
2013-02-19,0.8409,0.8392,0.8383
2013-02-20,0.8398,0.8381,0.8372
2013-02-21,0.8327,0.8310,0.8301
2013-02-22,0.8343,0.8326,0.8317
2013-02-25,0.8295,0.8278,0.8269
2013-02-26,0.8326,0.8309,0.8300
2013-02-27,0.8412,0.8395,0.8386
2013-02-28,0.8419,0.8402,0.8393
2013-03-01,0.8423,0.8406,0.8397
2013-03-04,0.8487,0.8470,0.8461
2013-03-05,0.8517,0.8500,0.8491
2013-03-06,0.8504,0.8487,0.8478
2013-03-07,0.8513,0.8496,0.8487
2013-03-08,0.8577,0.8559,0.8550
2013-03-11,0.8580,0.8562,0.8553
2013-03-12,0.8526,0.8508,0.8499
2013-03-13,0.8530,0.8512,0.8503
2013-03-14,0.8519,0.8501,0.8492
2013-03-15,0.8521,0.8503,0.8494
2013-03-18,0.8455,0.8438,0.8429
2013-03-19,0.8459,0.8442,0.8433
2013-03-20,0.8486,0.8469,0.8460
2013-03-21,0.8399,0.8382,0.8373
2013-03-22,0.8426,0.8409,0.8400
2013-03-25,0.8386,0.8369,0.8360
2013-03-26,0.8399,0.8382,0.8373
2013-03-27,0.8422,0.8405,0.8396
2013-03-28,0.8466,0.8449,0.8440
2013-04-02,0.8441,0.8424,0.8415
2013-04-03,0.8361,0.8344,0.8335
2013-04-04,0.8411,0.8394,0.8385
2013-04-05,0.8417,0.8400,0.8391
2013-04-08,0.8451,0.8434,0.8425
2013-04-09,0.8412,0.8395,0.8386
2013-04-10,0.8483,0.8466,0.8457
2013-04-11,0.8527,0.8509,0.8500
2013-04-12,0.8539,0.8521,0.8512
2013-04-15,0.8478,0.8461,0.8452
2013-04-16,0.8565,0.8547,0.8538
2013-04-17,0.8486,0.8469,0.8460
2013-04-18,0.8443,0.8426,0.8417
2013-04-19,0.8503,0.8486,0.8477
2013-04-22,0.8579,0.8561,0.8552
2013-04-23,0.8673,0.8655,0.8646
2013-04-24,0.8713,0.8695,0.8686
2013-04-26,0.8734,0.8716,0.8707
2013-04-29,0.8748,0.8730,0.8721
2013-04-30,0.8762,0.8744,0.8735
2013-05-01,0.8785,0.8767,0.8758
2013-05-02,0.8845,0.8827,0.8818
2013-05-03,0.8873,0.8855,0.8846
2013-05-06,0.8932,0.8914,0.8905
2013-05-07,0.9062,0.9043,0.9033
2013-05-08,0.9109,0.9090,0.9080
2013-05-09,0.9072,0.9053,0.9043
2013-05-10,0.9247,0.9228,0.9218
2013-05-13,0.9284,0.9265,0.9255
2013-05-14,0.9393,0.9374,0.9364
2013-05-15,0.9461,0.9442,0.9432
2013-05-16,0.9473,0.9454,0.9444
2013-05-17,0.9628,0.9608,0.9598
2013-05-20,0.9605,0.9585,0.9575
2013-05-21,0.9643,0.9623,0.9613
2013-05-22,0.9691,0.9671,0.9661
2013-05-23,0.9544,0.9524,0.9514
2013-05-24,0.9573,0.9553,0.9543
2013-05-28,0.9656,0.9636,0.9626
2013-05-29,0.9604,0.9584,0.9574
2013-05-30,0.9560,0.9540,0.9530
2013-05-31,0.9534,0.9514,0.9504
2013-06-03,0.9417,0.9398,0.9388
2013-06-04,0.9488,0.9469,0.9459
2013-06-05,0.9462,0.9447,0.9437
2013-06-06,0.9488,0.9473,0.9463
2013-06-07,0.9642,0.9627,0.9617
2013-06-11,0.9680,0.9665,0.9655
2013-06-12,0.9537,0.9522,0.9512
2013-06-13,0.9495,0.9480,0.9470
2013-06-14,0.9452,0.9437,0.9427
2013-06-17,0.9589,0.9574,0.9564
2013-06-18,0.9742,0.9727,0.9717
