Date,Purchase,NAV,Withdrawal
2013-01-02,0.6270,0.6254,0.6244
2013-01-03,0.6269,0.6253,0.6243
2013-01-04,0.6317,0.6301,0.6291
2013-01-07,0.6292,0.6276,0.6266
2013-01-08,0.6276,0.6260,0.6250
2013-01-09,0.6306,0.6290,0.6280
2013-01-10,0.6339,0.6323,0.6313
2013-01-11,0.6352,0.6336,0.6326
2013-01-14,0.6347,0.6331,0.6321
2013-01-15,0.6359,0.6343,0.6333
2013-01-16,0.6347,0.6331,0.6321
2013-01-17,0.6385,0.6369,0.6359
2013-01-18,0.6412,0.6396,0.6386
2013-01-22,0.6426,0.6409,0.6399
2013-01-23,0.6427,0.6410,0.6400
2013-01-24,0.6452,0.6435,0.6425
2013-01-25,0.6495,0.6478,0.6468
2013-01-29,0.6515,0.6498,0.6488
2013-01-30,0.6502,0.6485,0.6475
2013-01-31,0.6483,0.6466,0.6456
2013-02-01,0.6537,0.6520,0.6510
2013-02-04,0.6468,0.6451,0.6441
2013-02-05,0.6506,0.6489,0.6479
2013-02-06,0.6522,0.6505,0.6495
2013-02-07,0.6501,0.6484,0.6474
2013-02-08,0.6534,0.6517,0.6507
2013-02-11,0.6528,0.6511,0.6501
2013-02-12,0.6555,0.6538,0.6528
2013-02-13,0.6565,0.6548,0.6538
2013-02-14,0.6557,0.6540,0.6530
2013-02-15,0.6543,0.6526,0.6516
2013-02-19,0.6607,0.6590,0.6580
2013-02-20,0.6567,0.6550,0.6540
2013-02-21,0.6501,0.6484,0.6474
2013-02-22,0.6555,0.6538,0.6528
2013-02-25,0.6509,0.6492,0.6482
2013-02-26,0.6488,0.6471,0.6461
2013-02-27,0.6549,0.6532,0.6522
2013-02-28,0.6579,0.6562,0.6552
2013-03-01,0.6588,0.6571,0.6561
2013-03-04,0.6602,0.6585,0.6575
2013-03-05,0.6669,0.6652,0.6642
2013-03-06,0.6685,0.6668,0.6657
2013-03-07,0.6698,0.6681,0.6670
2013-03-08,0.6744,0.6727,0.6716
2013-03-11,0.6768,0.6751,0.6740
2013-03-12,0.6757,0.6740,0.6729
2013-03-13,0.6752,0.6735,0.6724
2013-03-14,0.6795,0.6778,0.6767
2013-03-15,0.6790,0.6773,0.6762
2013-03-18,0.6742,0.6725,0.6714
2013-03-19,0.6733,0.6716,0.6705
2013-03-20,0.6769,0.6752,0.6741
2013-03-21,0.6728,0.6711,0.6700
2013-03-22,0.6744,0.6727,0.6716
2013-03-25,0.6727,0.6710,0.6699
2013-03-26,0.6758,0.6741,0.6730
2013-03-27,0.6755,0.6738,0.6727
2013-03-28,0.6773,0.6756,0.6745
2013-04-02,0.6776,0.6759,0.6748
2013-04-03,0.6724,0.6707,0.6696
2013-04-04,0.6735,0.6718,0.6707
2013-04-05,0.6705,0.6688,0.6677
2013-04-08,0.6757,0.6740,0.6729
2013-04-09,0.6779,0.6762,0.6751
2013-04-10,0.6873,0.6855,0.6844
2013-04-11,0.6914,0.6896,0.6885
2013-04-12,0.6886,0.6868,0.6857
2013-04-15,0.6769,0.6752,0.6741
2013-04-16,0.6806,0.6789,0.6778
2013-04-17,0.6728,0.6711,0.6700
2013-04-18,0.6696,0.6679,0.6668
2013-04-19,0.6748,0.6731,0.6720
2013-04-22,0.6780,0.6763,0.6752
2013-04-23,0.6864,0.6846,0.6835
2013-04-24,0.6902,0.6884,0.6873
2013-04-26,0.6909,0.6891,0.6880
2013-04-29,0.6957,0.6939,0.6928
2013-04-30,0.6971,0.6953,0.6942
2013-05-01,0.6928,0.6910,0.6899
2013-05-02,0.6966,0.6948,0.6937
2013-05-03,0.7029,0.7011,0.7000
2013-05-06,0.7038,0.7020,0.7009
2013-05-07,0.7094,0.7076,0.7065
2013-05-08,0.7135,0.7117,0.7106
2013-05-09,0.7115,0.7097,0.7086
2013-05-10,0.7165,0.7147,0.7136
2013-05-13,0.7173,0.7155,0.7144
2013-05-14,0.7230,0.7211,0.7200
2013-05-15,0.7278,0.7259,0.7248
2013-05-16,0.7254,0.7235,0.7224
2013-05-17,0.7316,0.7297,0.7286
2013-05-20,0.7330,0.7311,0.7300
2013-05-21,0.7352,0.7333,0.7322
2013-05-22,0.7334,0.7315,0.7304
2013-05-23,0.7218,0.7200,0.7189
2013-05-24,0.7210,0.7192,0.7181
2013-05-28,0.7266,0.7247,0.7236
2013-05-29,0.7199,0.7181,0.7170
2013-05-30,0.7195,0.7177,0.7166
2013-05-31,0.7110,0.7092,0.7081
2013-06-03,0.7094,0.7076,0.7065
2013-06-04,0.7096,0.7078,0.7067
2013-06-05,0.6973,0.6959,0.6948
2013-06-06,0.6972,0.6958,0.6947
2013-06-07,0.7040,0.7025,0.7014
2013-06-11,0.6992,0.6978,0.6967
2013-06-12,0.6947,0.6933,0.6922
2013-06-13,0.6974,0.6960,0.6949
2013-06-14,0.6966,0.6952,0.6941
2013-06-17,0.7034,0.7019,0.7008
2013-06-18,0.7073,0.7058,0.7047
2013-06-19,0.7020,0.7005,0.6994
2013-06-20,0.6824,0.6810,0.6799
2013-06-21,0.6821,0.6807,0.6796
2013-06-24,0.6729,0.6715,0.6704
2013-06-25,0.6792,0.6778,0.6767
2013-06-26,0.6864,0.6850,0.6839
2013-06-27,0.6932,0.6918,0.6907
2013-06-28,0.6928,0.6914,0.6903
2013-07-01,0.6791,0.6777,0.6766
2013-07-02,0.6799,0.6785,0.6774
2013-07-03,0.6781,0.6767,0.6756
2013-07-05,0.6860,0.6846,0.6835
2013-07-08,0.6898,0.6884,0.6873
2013-07-09,0.6960,0.6946,0.6935
2013-07-10,0.6964,0.6950,0.6939
2013-07-11,0.7040,0.7025,0.7014
2013-07-12,0.7054,0.7039,0.7028
2013-07-15,0.7071,0.7056,0.7045
2013-07-16,0.7047,0.7032,0.7021
