Date,Purchase,NAV,Withdrawal
2013-01-02,1.1628,1.1611,1.1598
2013-01-03,1.1636,1.1619,1.1606
2013-01-04,1.1645,1.1628,1.1615
2013-01-07,1.1632,1.1615,1.1602
2013-01-08,1.1608,1.1591,1.1578
2013-01-09,1.1632,1.1615,1.1602
2013-01-10,1.1645,1.1628,1.1615
2013-01-11,1.1647,1.1630,1.1617
2013-01-14,1.1655,1.1638,1.1625
2013-01-15,1.1664,1.1647,1.1634
2013-01-16,1.1677,1.1660,1.1647
2013-01-17,1.1705,1.1688,1.1675
2013-01-18,1.1723,1.1706,1.1693
2013-01-22,1.1728,1.1711,1.1698
2013-01-23,1.1736,1.1719,1.1706
2013-01-24,1.1773,1.1756,1.1743
2013-01-25,1.1810,1.1793,1.1780
2013-01-29,1.1833,1.1816,1.1803
2013-01-30,1.1838,1.1821,1.1807
2013-01-31,1.1828,1.1811,1.1798
2013-02-01,1.1878,1.1861,1.1847
2013-02-04,1.1834,1.1817,1.1804
2013-02-05,1.1838,1.1821,1.1807
2013-02-06,1.1884,1.1867,1.1853
2013-02-07,1.1887,1.1870,1.1856
2013-02-08,1.1924,1.1907,1.1893
2013-02-11,1.1923,1.1906,1.1892
2013-02-12,1.1931,1.1914,1.1900
2013-02-13,1.1947,1.1930,1.1916
2013-02-14,1.1954,1.1937,1.1923
2013-02-15,1.1960,1.1943,1.1929
2013-02-19,1.2014,1.1997,1.1983
2013-02-20,1.2023,1.2006,1.1992
2013-02-21,1.1934,1.1917,1.1903
2013-02-22,1.1966,1.1949,1.1935
2013-02-25,1.1981,1.1964,1.1950
2013-02-26,1.1964,1.1947,1.1933
2013-02-27,1.2016,1.1999,1.1985
2013-02-28,1.2064,1.2047,1.2033
2013-03-01,1.2054,1.2037,1.2023
2013-03-04,1.2039,1.2022,1.2008
2013-03-05,1.2087,1.2070,1.2056
2013-03-06,1.2108,1.2091,1.2077
2013-03-07,1.2101,1.2084,1.2070
2013-03-08,1.2120,1.2103,1.2089
2013-03-11,1.2135,1.2118,1.2104
2013-03-12,1.2103,1.2086,1.2072
2013-03-13,1.2090,1.2073,1.2059
2013-03-14,1.2046,1.2029,1.2015
2013-03-15,1.2106,1.2089,1.2075
2013-03-18,1.2036,1.2019,1.2005
2013-03-19,1.2017,1.2000,1.1986
2013-03-20,1.2015,1.1998,1.1984
2013-03-21,1.1984,1.1967,1.1953
2013-03-22,1.2000,1.1983,1.1969
2013-03-25,1.2002,1.1985,1.1971
2013-03-26,1.1989,1.1972,1.1958
2013-03-27,1.2030,1.2013,1.1999
2013-03-28,1.2028,1.2011,1.1997
2013-04-02,1.2037,1.2020,1.2006
2013-04-03,1.1999,1.1982,1.1968
2013-04-04,1.2002,1.1985,1.1971
2013-04-05,1.2000,1.1983,1.1969
2013-04-08,1.2026,1.2009,1.1995
2013-04-09,1.2053,1.2036,1.2022
2013-04-10,1.2066,1.2049,1.2035
2013-04-11,1.2105,1.2088,1.2074
2013-04-12,1.2123,1.2106,1.2092
2013-04-15,1.2074,1.2057,1.2043
2013-04-16,1.2091,1.2074,1.2060
2013-04-17,1.2104,1.2087,1.2073
2013-04-18,1.2049,1.2032,1.2018
2013-04-19,1.2078,1.2061,1.2047
2013-04-22,1.2117,1.2100,1.2086
2013-04-23,1.2184,1.2166,1.2152
2013-04-24,1.2254,1.2236,1.2222
2013-04-26,1.2253,1.2235,1.2221
2013-04-29,1.2283,1.2265,1.2251
2013-04-30,1.2333,1.2315,1.2301
2013-05-01,1.2322,1.2304,1.2290
2013-05-02,1.2329,1.2311,1.2297
2013-05-03,1.2333,1.2315,1.2301
2013-05-06,1.2365,1.2347,1.2333
2013-05-07,1.2395,1.2377,1.2363
2013-05-08,1.2450,1.2432,1.2418
2013-05-09,1.2439,1.2421,1.2407
2013-05-10,1.2479,1.2461,1.2447
2013-05-13,1.2499,1.2481,1.2467
2013-05-14,1.2534,1.2516,1.2502
2013-05-15,1.2531,1.2513,1.2499
2013-05-16,1.2528,1.2510,1.2496
2013-05-17,1.2582,1.2564,1.2550
2013-05-20,1.2592,1.2574,1.2560
2013-05-21,1.2584,1.2566,1.2552
2013-05-22,1.2566,1.2548,1.2534
2013-05-23,1.2450,1.2432,1.2418
2013-05-24,1.2405,1.2387,1.2373
2013-05-28,1.2415,1.2397,1.2383
2013-05-29,1.2386,1.2368,1.2354
2013-05-30,1.2346,1.2328,1.2314
2013-05-31,1.2335,1.2317,1.2303
2013-06-03,1.2276,1.2258,1.2244
2013-06-04,1.2294,1.2276,1.2262
2013-06-05,1.2240,1.2225,1.2213
2013-06-06,1.2218,1.2203,1.2192
2013-06-07,1.2231,1.2216,1.2205
2013-06-11,1.2225,1.2210,1.2199
2013-06-12,1.2158,1.2143,1.2132
2013-06-13,1.2139,1.2124,1.2113
2013-06-14,1.2200,1.2185,1.2174
2013-06-17,1.2255,1.2240,1.2228
2013-06-18,1.2293,1.2278,1.2266
2013-06-19,1.2278,1.2263,1.2251
2013-06-20,1.2172,1.2157,1.2146
2013-06-21,1.2131,1.2116,1.2105
2013-06-24,1.2017,1.2002,1.1991
2013-06-25,1.2048,1.2033,1.2022
2013-06-26,1.2113,1.2098,1.2087
2013-06-27,1.2213,1.2198,1.2187
2013-06-28,1.2250,1.2235,1.2223
2013-07-01,1.1984,1.1969,1.1958
2013-07-02,1.2092,1.2077,1.2066
2013-07-03,1.2047,1.2032,1.2021
2013-07-05,1.2117,1.2102,1.2091
2013-07-08,1.2092,1.2077,1.2066
2013-07-09,1.2161,1.2146,1.2135
2013-07-10,1.2172,1.2157,1.2146
2013-07-11,1.2275,1.2260,1.2248
2013-07-12,1.2306,1.2291,1.2279
2013-07-15,1.2313,1.2298,1.2286
2013-07-16,1.2276,1.2261,1.2249
2013-07-17,1.2283,1.2268,1.2256
2013-07-18,1.2327,1.2312,1.2300
2013-07-19,1.2310,1.2295,1.2283
2013-07-22,1.2332,1.2317,1.2305
2013-07-23,1.2339,1.2324,1.2312
2013-07-24,1.2348,1.2333,1.2321
2013-07-25,1.2351,1.2336,1.2324
2013-07-26,1.2344,1.2329,1.2317
2013-07-29,1.2340,1.2325,1.2313
2013-07-30,1.2382,1.2367,1.2355
2013-07-31,1.2396,1.2381,1.2369
