Date,Purchase,NAV,Withdrawal
2013-01-02,1.0916,1.0905,1.0896
2013-01-03,1.0922,1.0911,1.0902
2013-01-04,1.0923,1.0912,1.0903
2013-01-07,1.0917,1.0906,1.0897
2013-01-08,1.0905,1.0894,1.0885
2013-01-09,1.0920,1.0909,1.0900
2013-01-10,1.0926,1.0915,1.0906
2013-01-11,1.0927,1.0916,1.0907
2013-01-14,1.0933,1.0922,1.0913
2013-01-15,1.0940,1.0929,1.0920
2013-01-16,1.0952,1.0941,1.0932
2013-01-17,1.0967,1.0956,1.0947
2013-01-18,1.0976,1.0965,1.0956
2013-01-22,1.0981,1.0970,1.0961
2013-01-23,1.0988,1.0977,1.0968
2013-01-24,1.1010,1.0999,1.0990
2013-01-25,1.1029,1.1017,1.1008
2013-01-29,1.1039,1.1027,1.1018
2013-01-30,1.1040,1.1028,1.1019
2013-01-31,1.1037,1.1025,1.1016
2013-02-01,1.1064,1.1052,1.1043
2013-02-04,1.1039,1.1027,1.1018
2013-02-05,1.1041,1.1029,1.1020
2013-02-06,1.1069,1.1057,1.1048
2013-02-07,1.1073,1.1061,1.1052
2013-02-08,1.1095,1.1083,1.1074
2013-02-11,1.1096,1.1084,1.1075
2013-02-12,1.1100,1.1088,1.1079
2013-02-13,1.1108,1.1096,1.1087
2013-02-14,1.1112,1.1100,1.1091
2013-02-15,1.1116,1.1104,1.1095
2013-02-19,1.1147,1.1135,1.1126
2013-02-20,1.1153,1.1141,1.1132
2013-02-21,1.1105,1.1093,1.1084
2013-02-22,1.1124,1.1112,1.1103
2013-02-25,1.1136,1.1124,1.1115
2013-02-26,1.1129,1.1117,1.1108
2013-02-27,1.1161,1.1149,1.1140
2013-02-28,1.1188,1.1176,1.1167
2013-03-01,1.1183,1.1171,1.1162
2013-03-04,1.1178,1.1166,1.1157
2013-03-05,1.1202,1.1190,1.1181
2013-03-06,1.1210,1.1198,1.1189
2013-03-07,1.1205,1.1193,1.1184
2013-03-08,1.1212,1.1200,1.1191
2013-03-11,1.1220,1.1208,1.1199
2013-03-12,1.1203,1.1191,1.1182
2013-03-13,1.1197,1.1185,1.1176
2013-03-14,1.1168,1.1156,1.1147
2013-03-15,1.1204,1.1192,1.1183
2013-03-18,1.1172,1.1160,1.1151
2013-03-19,1.1161,1.1149,1.1140
2013-03-20,1.1160,1.1148,1.1139
2013-03-21,1.1142,1.1130,1.1121
2013-03-22,1.1153,1.1141,1.1132
2013-03-25,1.1153,1.1141,1.1132
2013-03-26,1.1147,1.1135,1.1126
2013-03-27,1.1173,1.1161,1.1152
2013-03-28,1.1174,1.1162,1.1153
2013-04-02,1.1182,1.1170,1.1161
2013-04-03,1.1161,1.1149,1.1140
2013-04-04,1.1168,1.1156,1.1147
2013-04-05,1.1171,1.1159,1.1150
2013-04-08,1.1187,1.1175,1.1166
2013-04-09,1.1202,1.1190,1.1181
2013-04-10,1.1206,1.1194,1.1185
2013-04-11,1.1228,1.1216,1.1207
2013-04-12,1.1241,1.1229,1.1220
2013-04-15,1.1217,1.1205,1.1196
2013-04-16,1.1227,1.1215,1.1206
2013-04-17,1.1235,1.1223,1.1214
2013-04-18,1.1207,1.1195,1.1186
2013-04-19,1.1224,1.1212,1.1203
