Date,Purchase,NAV,Withdrawal
2013-01-02,1.2897,1.2872,1.2853
2013-01-03,1.2916,1.2891,1.2872
2013-01-04,1.2941,1.2916,1.2897
2013-01-07,1.2911,1.2886,1.2867
2013-01-08,1.2857,1.2832,1.2814
2013-01-09,1.2898,1.2873,1.2854
2013-01-10,1.2931,1.2906,1.2887
2013-01-11,1.2934,1.2909,1.2890
2013-01-14,1.2947,1.2922,1.2903
2013-01-15,1.2957,1.2932,1.2913
2013-01-16,1.2975,1.2950,1.2931
2013-01-17,1.3027,1.3002,1.2983
2013-01-18,1.3072,1.3047,1.3028
2013-01-22,1.3074,1.3049,1.3030
2013-01-23,1.3083,1.3058,1.3039
2013-01-24,1.3154,1.3129,1.3110
2013-01-25,1.3237,1.3211,1.3192
2013-01-29,1.3304,1.3278,1.3259
2013-01-30,1.3317,1.3291,1.3272
2013-01-31,1.3287,1.3261,1.3242
2013-02-01,1.3395,1.3369,1.3350
2013-02-04,1.3312,1.3286,1.3267
2013-02-05,1.3312,1.3286,1.3267
2013-02-06,1.3402,1.3376,1.3357
2013-02-07,1.3400,1.3374,1.3355
2013-02-08,1.3475,1.3449,1.3430
2013-02-11,1.3467,1.3441,1.3422
2013-02-12,1.3483,1.3457,1.3438
2013-02-13,1.3524,1.3498,1.3479
2013-02-14,1.3545,1.3519,1.3500
2013-02-15,1.3550,1.3524,1.3505
2013-02-19,1.3661,1.3635,1.3615
2013-02-20,1.3681,1.3655,1.3635
2013-02-21,1.3489,1.3463,1.3444
2013-02-22,1.3550,1.3524,1.3505
2013-02-25,1.3572,1.3546,1.3527
2013-02-26,1.3523,1.3497,1.3478
2013-02-27,1.3623,1.3597,1.3577
2013-02-28,1.3721,1.3694,1.3674
2013-03-01,1.3695,1.3669,1.3649
2013-03-04,1.3654,1.3628,1.3608
2013-03-05,1.3763,1.3736,1.3716
2013-03-06,1.3814,1.3787,1.3767
2013-03-07,1.3808,1.3781,1.3761
2013-03-08,1.3858,1.3831,1.3811
2013-03-11,1.3891,1.3864,1.3844
2013-03-12,1.3822,1.3795,1.3775
2013-03-13,1.3792,1.3765,1.3745
2013-03-14,1.3712,1.3685,1.3665
2013-03-15,1.3825,1.3798,1.3778
2013-03-18,1.3658,1.3632,1.3612
2013-03-19,1.3620,1.3594,1.3574
2013-03-20,1.3613,1.3587,1.3567
2013-03-21,1.3554,1.3528,1.3509
2013-03-22,1.3578,1.3552,1.3533
2013-03-25,1.3589,1.3563,1.3544
2013-03-26,1.3555,1.3529,1.3510
2013-03-27,1.3630,1.3604,1.3584
2013-03-28,1.3617,1.3591,1.3571
2013-04-02,1.3630,1.3604,1.3584
2013-04-03,1.3550,1.3524,1.3505
2013-04-04,1.3534,1.3508,1.3489
2013-04-05,1.3512,1.3486,1.3467
2013-04-08,1.3557,1.3531,1.3512
2013-04-09,1.3621,1.3595,1.3575
2013-04-10,1.3656,1.3630,1.3610
2013-04-11,1.3734,1.3707,1.3687
2013-04-12,1.3763,1.3736,1.3716
2013-04-15,1.3652,1.3626,1.3606
2013-04-16,1.3686,1.3660,1.3640
2013-04-17,1.3713,1.3686,1.3666
2013-04-18,1.3589,1.3563,1.3544
2013-04-19,1.3650,1.3624,1.3604
2013-04-22,1.3727,1.3700,1.3680
2013-04-23,1.3845,1.3818,1.3798
2013-04-24,1.3988,1.3961,1.3941
2013-04-26,1.3981,1.3954,1.3934
2013-04-29,1.4033,1.4006,1.3986
