Date,Purchase,NAV,Withdrawal
2013-01-04,1.1221,1.1203,1.1185
2013-01-07,1.1229,1.1211,1.1193
2013-01-08,1.1240,1.1222,1.1204
2013-01-09,1.1249,1.1231,1.1213
2013-01-10,1.1234,1.1216,1.1198
2013-01-11,1.1233,1.1215,1.1197
2013-01-15,1.1252,1.1234,1.1216
2013-01-16,1.1268,1.1250,1.1232
2013-01-17,1.1271,1.1252,1.1233
2013-01-18,1.1260,1.1242,1.1224
2013-01-22,1.1271,1.1252,1.1233
2013-01-23,1.1287,1.1268,1.1249
2013-01-24,1.1287,1.1268,1.1249
2013-01-25,1.1264,1.1246,1.1228
2013-01-29,1.1229,1.1211,1.1193
2013-01-30,1.1219,1.1201,1.1183
2013-01-31,1.1238,1.1220,1.1202
2013-02-01,1.1223,1.1205,1.1187
2013-02-04,1.1215,1.1197,1.1179
2013-02-05,1.1223,1.1205,1.1187
2013-02-06,1.1231,1.1213,1.1195
2013-02-07,1.1243,1.1225,1.1207
2013-02-08,1.1244,1.1226,1.1208
2013-02-12,1.1250,1.1232,1.1214
2013-02-13,1.1236,1.1218,1.1200
2013-02-14,1.1233,1.1215,1.1197
2013-02-15,1.1243,1.1225,1.1207
2013-02-19,1.1237,1.1219,1.1201
2013-02-20,1.1236,1.1218,1.1200
2013-02-21,1.1256,1.1238,1.1220
2013-02-22,1.1260,1.1242,1.1224
2013-02-25,1.1282,1.1263,1.1244
2013-02-26,1.1300,1.1281,1.1262
2013-02-27,1.1313,1.1294,1.1275
2013-02-28,1.1318,1.1299,1.1280
2013-03-01,1.1329,1.1310,1.1291
2013-03-04,1.1340,1.1321,1.1302
2013-03-05,1.1322,1.1303,1.1284
2013-03-06,1.1307,1.1288,1.1269
2013-03-07,1.1292,1.1273,1.1254
2013-03-08,1.1276,1.1257,1.1238
2013-03-11,1.1271,1.1252,1.1233
2013-03-12,1.1275,1.1256,1.1237
2013-03-13,1.1280,1.1261,1.1242
2013-03-14,1.1254,1.1236,1.1218
2013-03-15,1.1274,1.1255,1.1236
2013-03-18,1.1311,1.1292,1.1273
2013-03-19,1.1309,1.1290,1.1271
2013-03-21,1.1307,1.1288,1.1269
2013-03-22,1.1316,1.1297,1.1278
2013-03-25,1.1310,1.1291,1.1272
2013-03-26,1.1319,1.1300,1.1281
2013-03-27,1.1337,1.1318,1.1299
2013-03-28,1.1351,1.1332,1.1313
2013-04-02,1.1310,1.1291,1.1272
2013-04-03,1.1314,1.1295,1.1276
2013-04-04,1.1352,1.1333,1.1314
2013-04-05,1.1383,1.1364,1.1345
2013-04-08,1.1393,1.1374,1.1355
2013-04-09,1.1381,1.1362,1.1343
2013-04-10,1.1359,1.1340,1.1321
2013-04-11,1.1359,1.1340,1.1321
2013-04-12,1.1371,1.1352,1.1333
2013-04-15,1.1386,1.1367,1.1348
2013-04-16,1.1384,1.1365,1.1346
2013-04-17,1.1388,1.1369,1.1350
2013-04-18,1.1406,1.1387,1.1368
2013-04-19,1.1406,1.1387,1.1368
2013-04-22,1.1411,1.1392,1.1373
2013-04-23,1.1431,1.1412,1.1393
2013-04-24,1.1435,1.1416,1.1397
2013-04-26,1.1444,1.1425,1.1406
2013-04-30,1.1463,1.1444,1.1425
2013-05-02,1.1495,1.1476,1.1457
2013-05-07,1.1468,1.1449,1.1430
2013-05-08,1.1476,1.1457,1.1438
2013-05-09,1.1465,1.1446,1.1427
2013-05-10,1.1424,1.1405,1.1386
2013-05-13,1.1420,1.1401,1.1382
2013-05-14,1.1411,1.1392,1.1373
2013-05-15,1.1405,1.1386,1.1367
2013-05-16,1.1433,1.1414,1.1395
2013-05-17,1.1436,1.1417,1.1398
2013-05-20,1.1425,1.1406,1.1387
2013-05-21,1.1414,1.1395,1.1376
2013-05-22,1.1404,1.1385,1.1366
2013-05-23,1.1401,1.1382,1.1363
2013-05-24,1.1395,1.1376,1.1357
2013-05-28,1.1376,1.1357,1.1338
2013-05-29,1.1345,1.1326,1.1307
2013-05-30,1.1361,1.1342,1.1323
2013-05-31,1.1358,1.1339,1.1320
2013-06-03,1.1359,1.1340,1.1321
2013-06-04,1.1343,1.1324,1.1305
2013-06-05,1.1350,1.1337,1.1324
2013-06-06,1.1355,1.1342,1.1329
2013-06-07,1.1358,1.1345,1.1332
2013-06-11,1.1315,1.1302,1.1289
2013-06-12,1.1298,1.1285,1.1272
2013-06-13,1.1319,1.1306,1.1293
2013-06-14,1.1345,1.1332,1.1319
2013-06-17,1.1336,1.1323,1.1310
2013-06-18,1.1334,1.1321,1.1308
2013-06-19,1.1317,1.1304,1.1291
2013-06-20,1.1236,1.1223,1.1210
2013-06-21,1.1189,1.1176,1.1163
2013-06-24,1.1119,1.1106,1.1093
2013-06-25,1.1146,1.1133,1.1120
2013-06-26,1.1167,1.1154,1.1141
2013-06-27,1.1193,1.1180,1.1167
2013-06-28,1.1211,1.1198,1.1185
2013-07-01,1.0908,1.0896,1.0884
2013-07-02,1.0929,1.0916,1.0903
2013-07-03,1.0929,1.0916,1.0903
2013-07-05,1.0889,1.0877,1.0865
2013-07-08,1.0895,1.0883,1.0871
2013-07-09,1.0907,1.0895,1.0883
2013-07-10,1.0912,1.0900,1.0888
2013-07-11,1.0948,1.0935,1.0922
2013-07-12,1.0950,1.0937,1.0924
2013-07-16,1.0962,1.0949,1.0936
2013-07-17,1.0968,1.0955,1.0942
2013-07-18,1.0982,1.0969,1.0956
2013-07-19,1.0991,1.0978,1.0965
2013-07-22,1.1005,1.0992,1.0979
2013-07-23,1.0999,1.0986,1.0973
2013-07-24,1.0980,1.0967,1.0954
2013-07-25,1.0965,1.0952,1.0939
2013-07-26,1.0976,1.0963,1.0950
2013-07-29,1.0980,1.0967,1.0954
2013-07-30,1.0994,1.0981,1.0968
2013-07-31,1.0995,1.0982,1.0969
2013-08-01,1.0988,1.0975,1.0962
2013-08-02,1.0992,1.0979,1.0966
2013-08-05,1.1017,1.1004,1.0991
2013-08-06,1.0998,1.0985,1.0972
2013-08-07,1.1011,1.0998,1.0985
2013-08-08,1.1017,1.1004,1.0991
2013-08-09,1.1010,1.0997,1.0984
2013-08-12,1.1012,1.0999,1.0986
2013-08-13,1.0981,1.0968,1.0955
2013-08-14,1.0969,1.0956,1.0943
2013-08-15,1.0946,1.0933,1.0920
2013-08-16,1.0928,1.0915,1.0902
2013-08-19,1.0911,1.0899,1.0887
2013-08-20,1.0931,1.0918,1.0905
2013-08-21,1.0920,1.0908,1.0896
2013-08-22,1.0901,1.0889,1.0877
2013-08-23,1.0916,1.0904,1.0892
2013-08-26,1.0927,1.0914,1.0901
2013-08-27,1.0955,1.0942,1.0929
2013-08-28,1.0950,1.0937,1.0924
